id,first name,last name,age,dob,grade,school name,address.city,address.state,address.pincode,faculty.first name,faculty.last name,faculty.subject,faculty.phone number,faculty.salary
21,Shanta,Sale,16,8/6/2006,F,Mudo,Jacksonville,Florida,32209,Briant,Vanacci,English,904-664-1110,$2355.23
22,Irvin,Brandin,18,4/16/2011,B,Mudo,Rochester,New York,14639,Brigid,Fattore,Math,585-250-3698,$1592.04
23,Natala,Kenvin,15,9/24/2006,A,Ntags,Sioux Falls,South Dakota,57193,Ania,Cursey,Science,605-380-1770,$4485.16
24,Engracia,Stansby,14,2/7/2016,E,Yamia,Monticello,Minnesota,55590,Friederike,Shinfield,Science,763-863-7256,$1577.35
25,Tyrus,Pococke,17,1/12/2016,D,Katz,Fresno,California,93721,Danella,Cominotti,History,559-303-8828,$4560.71
26,Sander,Minithorpe,9,9/22/2007,B,Zoomcast,Henderson,Nevada,89074,Easter,Denning,History,702-415-0916,$2910.95
27,Guglielma,Demead,17,9/16/2007,F,Yakitri,El Paso,Texas,79989,Coretta,Voss,Science,915-240-3643,$3176.95
28,Ganny,Grishechkin,9,5/19/2016,C,Zazio,Sacramento,California,94286,Maria,Kembry,Science,916-936-4443,$2762.81
29,Yolane,Povlsen,17,2/7/2016,A,Skyndu,Boulder,Colorado,80305,Sapphira,Lindsay,Science,720-612-7309,$3656.00
30,Nelli,Lindman,18,5/8/2014,D,Wordpedia,Lancaster,Pennsylvania,17605,Claire,Laverick,English,717-275-4258,$4448.66
31,Caria,Trimmell,10,5/3/2009,E,Teklist,Winter Haven,Florida,33884,Quintilla,McQuaide,English,407-199-0621,$4683.86
32,Waldemar,Woolforde,6,12/19/2017,D,Topicshots,Anchorage,Alaska,99512,Joellen,Bettleson,Art,907-413-8277,$2083.70
33,Leeland,Grigolli,16,12/28/2009,B,Brainverse,Hampton,Virginia,23663,Mirabella,MacCosto,Art,804-619-7741,$4718.29
34,Chandler,Edmondson,13,12/22/2010,D,Kwideo,Lees Summit,Missouri,64082,Bliss,Simoneau,Art,816-550-3635,$4535.21
35,Nomi,Higgonet,6,6/20/2014,C,Meembee,Tallahassee,Florida,32399,Patricia,Calan,Art,850-233-4732,$1900.19
36,Lelah,Corps,18,9/24/2016,F,Dabfeed,Santa Monica,California,90405,Neall,Lifton,History,818-140-7424,$2815.89
37,Laurene,Scryne,13,1/12/2018,A,Twitterbridge,Maple Plain,Minnesota,55579,Helen,Oak,Science,952-703-4234,$2278.42
38,Camel,Cordobes,6,9/8/2008,F,Snaptags,Salt Lake City,Utah,84130,Evaleen,Goulding,History,801-231-2386,$1051.66
39,Jeni,Adamowicz,8,3/3/2009,A,Edgepulse,Austin,Texas,78744,Kalie,Naptin,Science,512-194-1566,$1809.34
40,Silva,Brandt,18,3/11/2008,F,Youbridge,Denver,Colorado,80291,Leeanne,Budnk,English,303-664-1243,$1796.50
41,Melisande,Dwelly,15,2/10/2006,D,Nlounge,Wichita Falls,Texas,76305,Kaitlynn,Brasted,History,940-544-2000,$1310.05
42,Ilysa,Nolot,8,9/20/2017,E,Shufflester,Irving,Texas,75062,Ingmar,McEvilly,Math,817-529-7564,$1482.86
43,Janean,Giacubo,9,12/24/2017,C,Skalith,Lafayette,Indiana,47905,Elias,Bondley,History,765-765-9138,$1954.60
44,Valerie,Sodo,8,9/22/2009,E,Youspan,Saint Louis,Missouri,63180,Dalston,Ashness,History,314-276-7994,$1520.50
45,Immanuel,Vida,8,4/27/2017,A,Ntag,Philadelphia,Pennsylvania,19115,Karil,Sivil,Math,215-962-3937,$4684.29
46,Xymenes,Toseland,6,11/10/2011,C,Skiptube,Charleston,West Virginia,25362,Dru,Gamlin,Science,304-400-0544,$2730.12
47,Kristo,Evershed,9,9/25/2017,E,Meedoo,Chandler,Arizona,85246,Guglielma,Joanic,Science,602-628-7224,$3860.27
48,Bailey,Tilio,15,1/5/2015,E,LiveZ,Washington,District of Columbia,20268,Maiga,Hegg,Art,202-652-0353,$1961.54
49,Packston,Barenski,12,4/19/2016,D,Flipopia,San Jose,California,95155,Marys,Killock,Art,408-266-6657,$4008.65
50,Deane,Kopje,13,9/2/2013,C,Realcube,Washington,District of Columbia,20299,Glenn,Snawden,Science,202-355-6905,$2336.26
51,Obie,Minster,10,8/17/2006,B,Zava,Midland,Michigan,48670,Maitilde,Abbet,History,989-305-6922,$2725.52
52,Shurlock,Sharp,8,6/4/2014,D,Eare,Tulsa,Oklahoma,74156,Maia,Tame,Science,918-105-3778,$1333.38
53,Franchot,Scirman,14,6/7/2009,B,Eire,Kalamazoo,Michigan,49006,Bonni,Ness,History,269-910-8103,$1771.75
54,Rolf,Plinck,8,1/13/2008,E,Avavee,Providence,Rhode Island,2912,Caralie,Tripet,Math,401-328-2979,$2940.06
55,Aron,McCrow,10,2/8/2017,B,Photojam,Riverside,California,92513,Jarrod,Peepall,Art,951-718-8809,$3162.96
56,Kellie,Dunmore,10,3/5/2010,E,Zava,Atlanta,Georgia,31190,Merralee,Kimmings,Math,404-964-6839,$3973.87
57,Dyanna,Messam,6,2/14/2018,E,Meejo,Toledo,Ohio,43656,John,Pollok,History,419-416-9010,$1346.74
58,Cameron,Olivi,15,5/4/2013,B,Lazz,Salt Lake City,Utah,84120,Kylynn,Ankers,Math,801-981-3873,$4006.59
59,Fawne,Redwing,16,3/4/2013,B,Vipe,Fresno,California,93762,Killian,Witcomb,Math,559-700-4665,$1421.56
60,Wyn,Gebhardt,9,7/22/2017,D,Quimba,San Antonio,Texas,78250,Tiertza,Eadmead,English,210-672-5375,$3657.70
61,Reyna,Daffey,9,1/13/2015,A,Shufflebeat,Shreveport,Louisiana,71166,Franciskus,Foli,Math,318-180-0994,$2064.61
62,Cortie,Spickett,6,12/11/2008,F,Buzzbean,Albany,New York,12222,Nissie,Ouldred,History,518-815-1663,$2757.77
63,Liam,Bellany,12,3/8/2016,D,Skibox,Houston,Texas,77020,Timmie,Ceely,History,281-825-2341,$3486.29
64,Rhea,Dudden,18,12/13/2015,F,Izio,Saint Louis,Missouri,63110,Essie,Pawson,History,314-916-9921,$3218.79
65,Norrie,Mulvany,12,2/15/2011,B,Centimia,Memphis,Tennessee,38188,Lemmie,Courtonne,Science,901-592-6745,$4418.44
66,Sully,Cuskery,6,3/4/2012,A,Omba,Hartford,Connecticut,6145,Elmer,Stollenwerck,Math,860-176-3412,$2866.03
67,Gerrie,Kinvig,18,2/16/2006,E,Devcast,Spokane,Washington,99210,Margie,Stovold,Math,509-779-4118,$1364.64
68,Bailey,Bilton,17,3/27/2013,B,Gabspot,South Lake Tahoe,California,96154,Humberto,Takos,Art,530-654-4481,$3144.48
69,Olympe,Hubble,18,9/5/2010,C,Skinder,Oklahoma City,Oklahoma,73147,Vince,Leap,English,405-670-1320,$4595.94
70,Maegan,Bartalot,9,2/7/2014,A,Shuffletag,Murfreesboro,Tennessee,37131,Blair,Haibel,English,615-659-6124,$4896.58
71,Kerr,Wantling,11,4/29/2014,E,Myworks,Albuquerque,New Mexico,87195,Gaile,Snodin,Math,505-421-5878,$2793.92
72,Thaddeus,Toolin,18,6/29/2018,F,Vipe,Fort Lauderdale,Florida,33325,Fonsie,Bodman,Math,954-417-0145,$2673.18
73,Neel,Sommerling,16,6/11/2014,A,Trilith,Virginia Beach,Virginia,23459,Tove,McDonough,English,757-437-8514,$1245.28
74,Barnaby,Olennikov,17,5/7/2008,D,Buzzster,Naperville,Illinois,60567,Theresina,Beveredge,English,630-747-5332,$3021.12
75,Wright,Gallety,8,8/24/2011,D,Wikizz,El Paso,Texas,88525,Tabatha,Reinger,Science,915-160-9680,$3952.86
76,Kimberli,Deverille,17,4/2/2017,B,Fadeo,Lansing,Michigan,48919,Sanson,Cranny,Math,517-914-7940,$4527.72
77,Sisile,Lamminam,18,8/18/2013,B,Quatz,New Hyde Park,New York,11044,Sammie,Drake,History,516-606-4603,$2971.79
78,Timi,Pavolini,13,10/7/2016,B,Mydo,Erie,Pennsylvania,16505,Tybie,Meah,English,814-514-7780,$3460.64
79,Anneliese,Hawkslee,10,7/30/2013,A,Dabjam,Columbus,Mississippi,39705,Dawn,Sturrock,Science,662-162-0731,$4557.56
80,Jemmie,Scripture,11,7/6/2011,A,Meejo,Baltimore,Maryland,21282,Darlene,Maciejak,English,410-840-3321,$2704.32
81,Mort,Nanni,17,5/21/2016,E,Voonyx,Washington,District of Columbia,20016,Traci,Tuther,Science,202-177-6060,$2086.00
82,Claribel,Gisbourn,15,6/3/2017,C,Zooveo,Maple Plain,Minnesota,55579,Korrie,Hulburt,Science,952-240-4790,$4559.48
83,Leeland,Satterthwaite,13,5/15/2010,E,Tazz,San Bernardino,California,92424,Sisely,Witty,Math,909-197-3923,$4632.52
84,Duffie,Gaenor,18,2/14/2007,A,Oozz,Dallas,Texas,75265,Benjamin,Jirusek,Art,214-364-5092,$2253.33
85,Lorens,Rosle,12,4/25/2011,C,Jabberstorm,El Paso,Texas,88553,Thia,Vedenichev,Math,915-256-1343,$1040.91
86,Sile,Camilio,12,6/15/2010,D,Oloo,Waltham,Massachusetts,2453,Leroi,Drable,Science,774-255-9977,$3637.44
87,Jeramie,Deverall,9,6/14/2016,F,Twimbo,Houston,Texas,77245,Traci,Chittleburgh,Science,713-799-0090,$3112.41
88,Judye,Paddingdon,17,7/17/2016,E,Kanoodle,Denver,Colorado,80228,Obadiah,Blague,Art,303-404-2543,$1796.98
89,Lotti,Mitchely,7,7/8/2015,B,Fliptune,San Jose,California,95194,Base,Winkell,Art,408-682-8050,$1693.20
90,Tito,Coley,6,2/16/2018,F,Yakidoo,Tallahassee,Florida,32309,Robinet,Kearn,Art,850-855-0583,$4689.25
91,Tito,Struss,6,6/25/2017,C,Vinte,Charleston,West Virginia,25326,Verine,Sugar,History,304-962-5305,$2172.15
92,Shaw,Castree,15,11/16/2015,F,Trilia,Newport News,Virginia,23612,Cloe,Ambrosoni,Art,757-297-8282,$2770.10
93,Aurora,Shill,12,7/10/2006,F,Ntags,Knoxville,Tennessee,37995,Frieda,Shulem,Science,865-827-9130,$1463.72
94,Karena,Eskrick,12,4/7/2013,A,Eamia,Fort Worth,Texas,76134,Mikol,Lemin,English,817-583-2893,$4715.21
95,Randee,Salterne,16,10/29/2012,E,Twitterlist,Birmingham,Alabama,35220,Estevan,Kisby,Art,205-562-1280,$2038.63
96,Lisha,Youde,8,3/17/2016,E,Meeveo,Washington,District of Columbia,20546,Atalanta,Tomasz,Math,202-547-6661,$2582.97
97,Barry,Oakden,9,4/11/2017,E,Fivechat,Cincinnati,Ohio,45228,Yoshi,Marciek,English,513-836-6559,$3355.21
98,Gerhardt,Switland,6,7/25/2014,E,Feedbug,Indianapolis,Indiana,46239,Keefer,Cureton,Science,317-513-5464,$3246.67
99,Lanette,Bradshaw,12,5/8/2014,B,Realcube,San Diego,California,92186,Rheta,Pagram,History,619-550-5456,$1993.38
100,Theadora,Pettisall,6,9/4/2006,F,Topdrive,Flint,Michigan,48550,Durand,Shorland,Art,810-277-4943,$1083.00
101,Glen,Wasbey,9,7/3/2009,E,Blognation,Indianapolis,Indiana,46278,Madelena,Hoovart,History,317-226-0889,$1122.67
102,Krishnah,Penke,6,5/24/2015,E,Jamia,Pomona,California,91797,Terrijo,Pagden,History,909-328-3481,$4039.08
103,Iver,Kolczynski,9,4/23/2014,B,JumpXS,North Little Rock,Arkansas,72199,Marcellus,Yacobsohn,Math,501-969-6484,$1055.99
104,Katie,Mathevet,6,5/20/2017,F,Teklist,Phoenix,Arizona,85020,Luise,Hardison,Science,623-386-5692,$4651.83
105,Janelle,Bolding,6,7/3/2006,B,Voolith,Saginaw,Michigan,48609,Cullan,Westnage,Science,989-307-5450,$2663.84
106,Cami,Pidgin,17,6/26/2017,B,Fivebridge,Johnson City,Tennessee,37605,Richart,Denyukhin,History,423-304-3549,$2469.64
107,Ellerey,Ankers,14,6/17/2011,E,Twinte,Salt Lake City,Utah,84120,Chelsey,Meneyer,English,801-421-9561,$3422.29
108,Wilmar,Raoul,16,4/25/2016,B,Feednation,Sioux Falls,South Dakota,57105,Inglebert,Struis,History,605-766-4616,$1362.92
109,Eddie,Duxfield,12,3/4/2013,B,Podcat,Shreveport,Louisiana,71115,Quinton,Moens,Art,318-542-4099,$1339.13
110,Karlotte,Oattes,8,6/16/2013,F,Youspan,Oakland,California,94622,Cristie,Bescoby,Math,510-617-3814,$3892.16
111,Matty,Beining,7,6/9/2007,D,Yadel,Minneapolis,Minnesota,55470,Grace,Scutching,English,612-611-9767,$1025.42
112,Clovis,Scholar,14,10/7/2012,A,Zava,Phoenix,Arizona,85053,Frederik,Ranson,Science,602-854-1857,$2930.43
113,Tyson,Lundon,16,9/13/2013,B,Janyx,San Diego,California,92165,Caryn,Renachowski,Art,619-466-4612,$4139.27
114,Bernice,Dignan,17,10/31/2013,A,Ainyx,Hartford,Connecticut,6183,Fabien,Arrighi,English,860-911-1269,$1994.13
115,Norton,Rieme,12,4/9/2018,D,Ntags,Washington,District of Columbia,20337,Bab,Eadmeads,Science,202-769-5853,$3164.93
116,Gabriel,McKeowon,18,11/3/2008,F,Thoughtstorm,Sacramento,California,95838,Alain,Robelet,Art,916-372-9119,$2614.51
117,Raddie,Flewett,11,6/12/2006,E,Skynoodle,Stamford,Connecticut,6912,Annabelle,Heeps,English,203-289-2464,$2842.58
118,Alano,Velez,9,2/26/2013,B,Yakidoo,Moreno Valley,California,92555,Rube,Howship,Art,951-190-4972,$1851.30
119,Gayleen,Stainsby,12,2/4/2006,B,Agivu,Houston,Texas,77276,Euphemia,Shrubshall,Art,713-734-0705,$1140.08
120,Lynette,Darinton,7,7/1/2007,C,Browsetype,Carson City,Nevada,89706,Terese,Kidds,English,775-232-7147,$4669.29
121,Selene,Thomasset,9,6/15/2009,F,Jabberbean,Tulsa,Oklahoma,74156,Bernarr,Dobson,Math,918-586-2512,$3198.00
122,Timofei,Hanington,7,10/29/2006,E,Fivebridge,Milwaukee,Wisconsin,53277,Veronica,Spensley,English,414-860-8835,$1935.59
123,Daffie,Merkle,13,6/22/2016,B,Photofeed,Miami Beach,Florida,33141,Briny,Whipple,English,305-143-5620,$3805.46
124,Myra,Kezar,15,5/12/2009,D,Flipopia,New York City,New York,10125,Cari,Lloyd-Williams,English,212-887-0171,$1842.00
125,Ellerey,Tockell,14,4/11/2006,F,Quinu,Jacksonville,Florida,32215,Nollie,Reims,History,904-458-7396,$4379.56
126,Andrej,Hinrichs,12,12/23/2012,F,Topiczoom,Naples,Florida,33963,Muhammad,Pencost,Art,239-103-3041,$1436.02
127,Claus,Castard,17,5/7/2009,E,Realmix,Seminole,Florida,34642,Adriano,Chumley,Art,941-735-9752,$3669.49
128,Tedra,Semens,14,11/10/2010,E,Trilith,Salt Lake City,Utah,84170,Janenna,Gurnee,Art,801-651-1607,$1851.27
129,Lonna,Coll,15,8/17/2008,F,Jabbersphere,San Diego,California,92145,Alfonso,Wooles,English,858-890-7586,$4338.06
130,Caro,Dallas,14,3/9/2013,E,Bluejam,Houston,Texas,77030,Eugene,Schout,History,281-196-4947,$2256.87
131,Aloisia,Fidler,16,5/19/2010,E,Mymm,Dallas,Texas,75236,Courtnay,Revington,History,214-948-3523,$2082.09
132,Colas,Krzysztofiak,9,10/12/2011,F,Camido,Los Angeles,California,90060,Reilly,Wishart,Science,323-486-4432,$1925.42
133,Aloisia,Jentle,9,5/18/2018,D,Twitterworks,Saint Paul,Minnesota,55166,Britney,Sailor,Science,651-851-1221,$1428.50
134,Consalve,Bloxham,13,6/8/2018,F,Tagchat,Huntington,West Virginia,25721,Nev,Linnemann,Math,304-554-6398,$2433.69
135,Arlen,Tomkys,6,8/27/2016,F,Meemm,Phoenix,Arizona,85030,Allan,Baynard,Math,602-202-6133,$1178.51
136,Rasla,Sand,12,6/6/2017,A,Gevee,Saint Louis,Missouri,63121,Connie,Domange,History,314-364-0321,$4197.76
137,Andria,Ricci,7,7/22/2016,C,Wikibox,San Antonio,Texas,78260,Jillane,Dimitrov,Math,830-253-6771,$2001.79
138,Othilie,Gouth,18,4/24/2007,A,Voolia,Rochester,Minnesota,55905,Sidonia,Chesters,Art,507-214-1860,$2799.44
139,Lorelei,Le Friec,10,12/16/2013,F,Thoughtmix,Tyler,Texas,75705,Delores,Dominguez,History,903-620-3920,$3260.33
140,Quintana,Axston,17,6/22/2009,D,Pixope,Frederick,Maryland,21705,Binky,Wavish,Science,240-197-8991,$3077.49
141,Merl,Lammiman,17,9/24/2010,D,Fatz,San Diego,California,92170,Isak,Perrin,History,619-839-6133,$4997.12
142,Leland,Mushrow,10,2/8/2015,E,Gigaclub,Tulsa,Oklahoma,74116,Mireielle,Girodon,English,918-959-8321,$2252.80
143,Freddi,Dudek,12,8/23/2009,D,Photobean,El Paso,Texas,88553,Orelia,Pudner,History,915-485-9339,$1455.89
144,Freda,Vail,16,7/11/2007,A,Gevee,Tulsa,Oklahoma,74108,Meredith,Nelle,History,918-334-2676,$4055.75
145,Kirsten,Scibsey,17,12/9/2011,F,Yabox,Yonkers,New York,10705,Gael,Brimble,English,914-980-4028,$4665.48
146,Marcie,Pancoust,10,1/19/2017,F,Eimbee,San Mateo,California,94405,Freddie,Dionisi,Math,805-707-9942,$3079.96
147,Ursala,Dyball,15,9/25/2011,D,Mita,Eugene,Oregon,97405,Jule,Glennard,Art,541-892-2837,$2720.39
148,Gayla,Towle,11,9/28/2016,E,Shufflebeat,Houston,Texas,77260,Donnie,McGarva,Math,713-231-4928,$4157.52
149,Theresita,Shinn,11,8/5/2007,D,Devpulse,Albuquerque,New Mexico,87105,Flinn,Gaze,History,505-253-4881,$1572.93
150,Donelle,Tabourin,8,9/18/2008,B,Topiclounge,San Diego,California,92132,Rory,MacAskie,Math,619-434-3528,$4778.78
151,Werner,Lowndsborough,11,12/16/2017,A,Meedoo,West Palm Beach,Florida,33421,Davey,Mack,Math,561-614-3962,$1253.84
152,Livvy,Hardwell,13,5/19/2016,A,Katz,Lafayette,Louisiana,70593,Mackenzie,Iannuzzi,History,337-817-5157,$3588.88
153,Veronique,Storrie,7,8/11/2006,C,Livetube,Houston,Texas,77075,Cherida,Ferrey,Science,281-916-5062,$2956.00
154,Meier,Blackesland,15,3/3/2012,D,Tagfeed,Santa Fe,New Mexico,87592,Elisabeth,Jayne,Art,505-337-3562,$3932.99
155,Rayshell,Illiston,10,3/13/2009,D,Brainsphere,Houston,Texas,77005,Anthony,Radolf,Math,832-282-8828,$1894.50
156,Honey,Schwander,15,12/16/2007,A,Mudo,Tampa,Florida,33620,Gunter,Relph,Art,813-891-2606,$4181.34
157,Lula,Knappett,6,8/7/2015,E,Yadel,Seattle,Washington,98148,Staffard,Edmonston,Science,206-596-1492,$2563.20
158,Pippo,Whittier,16,11/20/2010,B,Browsetype,Las Vegas,Nevada,89150,Lalo,Spinke,Science,702-719-5806,$2565.80
159,Archambault,Vergine,15,3/9/2007,F,Feedbug,Omaha,Nebraska,68164,Chrissie,Fick,English,402-650-4842,$1298.73
160,Molli,Giovannini,14,10/23/2017,A,Avaveo,El Paso,Texas,79989,Even,Knowller,English,915-767-4556,$3759.72
161,Teresa,Yurukhin,6,3/22/2006,B,Twitternation,Arlington,Virginia,22217,Norrie,Ellens,Science,571-460-2741,$4773.40
162,Sebastiano,Loton,16,11/22/2016,C,Reallinks,Odessa,Texas,79769,Rowan,Ferby,Math,432-148-4604,$3997.28
163,Yorgos,Sarl,17,9/29/2011,B,Kwilith,Charlotte,North Carolina,28284,Lorelei,Minchell,History,704-806-5848,$3252.24
164,Waverley,Simmonds,8,1/12/2016,B,Zooveo,Columbus,Georgia,31914,Ambur,Jewers,History,706-159-4575,$1755.65
165,Ashli,Pountain,10,4/13/2006,F,Shuffledrive,San Jose,California,95113,Oberon,Smowton,Science,650-563-5531,$4503.38
166,Roscoe,Bashford,17,2/27/2015,F,Vinte,Charleston,West Virginia,25362,Carmine,Schwieso,History,304-919-5936,$4139.76
167,Keven,Jeacock,10,2/13/2011,A,Oba,New Orleans,Louisiana,70124,Candis,Feilden,History,504-730-7018,$4316.86
168,Mathe,Mylchreest,11,5/28/2010,B,Kwilith,Clearwater,Florida,33758,Stacie,Tiddeman,English,813-320-9604,$3240.16
169,Isahella,Megahey,9,11/18/2010,A,Pixope,Louisville,Kentucky,40287,Shurwood,Tredgold,English,502-549-6819,$1183.43
170,Hurleigh,Paudin,13,2/17/2016,B,Fadeo,Cape Coral,Florida,33915,Jordan,Cloney,History,239-609-2041,$1231.96
171,Brody,Giacometti,17,2/4/2012,F,Agivu,Raleigh,North Carolina,27621,Felita,Dyers,Math,919-816-1668,$3699.67
172,August,Voss,14,10/23/2008,F,Rhyloo,Waco,Texas,76796,Casandra,Goold,Math,254-798-5071,$4101.44
173,Meridel,Aikett,13,9/22/2007,B,Demivee,Jacksonville,Florida,32230,Maxie,Webb,Science,904-808-7688,$3106.81
174,Mackenzie,Schimpke,12,9/19/2015,C,Shuffledrive,Decatur,Georgia,30089,Gwen,Brewer,History,404-211-7146,$2970.62
175,Kristoffer,Fradgley,13,7/7/2016,C,Lazz,Carlsbad,California,92013,Berny,Deex,History,760-403-2121,$2845.30
176,Mead,Redwing,6,6/29/2007,D,Tazz,Jamaica,New York,11470,Dehlia,Godier,English,917-415-5428,$2140.38
177,Malinde,Astill,10,4/16/2017,B,Zoozzy,Los Angeles,California,90005,Abbot,MacKerley,Science,562-643-6691,$4001.30
178,Hall,Eidler,16,11/10/2011,F,Meezzy,Sioux Falls,South Dakota,57198,Julienne,Touson,Science,605-294-2426,$4446.89
179,Sarita,Lokier,9,7/19/2007,B,Voomm,Buffalo,New York,14269,Darice,Unwin,English,716-498-6204,$3213.69
180,Laney,Roskelley,11,12/16/2006,D,Thoughtblab,Orange,California,92867,Roby,Beedom,History,714-488-3843,$3315.35
181,Brit,Howis,7,6/7/2016,E,Agivu,Seattle,Washington,98109,Luciano,Godbold,History,360-546-9117,$4564.93
182,Karlan,Boscott,6,6/24/2010,E,Myworks,Des Moines,Iowa,50936,Abbey,Worley,History,515-611-2759,$1122.26
183,Beulah,Mosconi,14,8/11/2006,B,Devify,Louisville,Kentucky,40287,Aliza,Gaspero,English,502-772-4229,$1440.50
184,Ailene,Heinig,17,11/26/2006,D,Innotype,Worcester,Massachusetts,1654,Gratiana,Gledhall,Art,508-515-1575,$3780.60
185,Kristel,Axby,11,2/1/2018,A,Vimbo,Philadelphia,Pennsylvania,19115,Kaylee,Deabill,Science,267-189-6082,$2060.88
186,Andras,Jindrak,10,7/28/2006,A,Quinu,El Paso,Texas,79934,Liv,Hyndley,English,915-433-1911,$2866.38
187,Rebecka,Sywell,16,8/3/2016,B,Reallinks,Denver,Colorado,80235,Bondon,Grealish,Art,720-353-3235,$1395.00
188,Corabel,Chorlton,12,11/4/2006,E,Roombo,Waco,Texas,76705,Jobye,Ailward,Math,254-507-4413,$1339.69
189,Blondie,Gravatt,16,6/30/2011,D,Ailane,Brooklyn,New York,11231,Wally,Drinnan,English,718-428-8607,$3113.14
190,Camellia,Latty,17,5/18/2013,E,Wikizz,Pittsburgh,Pennsylvania,15225,Marcelia,de Quesne,Math,412-663-6227,$1309.56
191,Grantham,Twinborne,14,7/12/2008,B,Twimm,Lansing,Michigan,48901,Edvard,Packham,Math,517-913-4396,$4992.65
192,Annora,Doret,6,9/21/2018,C,Quinu,Washington,District of Columbia,20535,Cybill,Powys,Art,202-937-7144,$2809.42
193,Osborne,Speerman,11,8/1/2013,B,Edgeblab,Savannah,Georgia,31410,Giulietta,Ettritch,Art,912-379-5216,$1868.38
194,Calhoun,McIlhone,12,8/7/2015,C,Quinu,Fresno,California,93740,Lynn,Vasilyev,English,559-335-3167,$2721.86
195,Roseanne,Quarmby,15,5/29/2017,C,Snaptags,Denver,Colorado,80262,Nat,Edie,Math,303-839-9249,$3436.65
196,Sonny,Collis,9,1/1/2009,D,Demimbu,Saint Paul,Minnesota,55103,Maddie,Furness,Science,612-248-3372,$4073.33
197,Mahmud,Kelly,15,11/25/2015,F,Photofeed,New Orleans,Louisiana,70165,Jemie,Gillice,Math,504-931-3022,$1203.76
198,Dolorita,Pyson,9,4/29/2018,A,Wordpedia,Wilmington,Delaware,19886,Wendel,Mongeot,History,302-986-5838,$3678.42
199,Dannye,Sambidge,8,4/6/2008,A,Yamia,Washington,District of Columbia,20244,Godard,Attard,History,202-258-1199,$2462.55
200,Livia,Oliva,11,11/23/2010,F,Katz,Chicago,Illinois,60604,Idalina,Broe,Art,630-182-4619,$2827.37
201,Orv,Kubalek,7,7/2/2008,A,Flipopia,Indianapolis,Indiana,46239,Borden,D'Cruze,History,317-189-7218,$2344.69
202,Rosemary,Brockett,15,1/22/2010,F,Mycat,Daytona Beach,Florida,32123,Frazier,Rochewell,History,386-958-7590,$3894.20
203,Margaux,Portail,15,2/20/2017,C,Twinder,Birmingham,Alabama,35231,Truman,Panswick,History,205-463-9964,$4209.19
