first_name,last_name,subject,phone_no,salary
Thia,Vedenichev,Math,915-256-1343,1040.91
Leroi,Drable,Science,774-255-9977,3637.44
Traci,Chittleburgh,Science,713-799-0090,3112.41
Obadiah,Blague,Art,303-404-2543,1796.98
Base,Winkell,Art,408-682-8050,1693.20
Robinet,Kearn,Art,850-855-0583,4689.25
Verine,Sugar,History,304-962-5305,2172.15
Cloe,Ambrosoni,Art,757-297-8282,2770.10
Frieda,Shulem,Science,865-827-9130,1463.72
Mikol,Lemin,English,817-583-2893,4715.21
Estevan,Kisby,Art,205-562-1280,2038.63
Atalanta,Tomasz,Math,202-547-6661,2582.97
Yoshi,Marciek,English,513-836-6559,3355.21
Keefer,Cureton,Science,317-513-5464,3246.67
Rheta,Pagram,History,619-550-5456,1993.38
Durand,Shorland,Art,810-277-4943,1083.00
Madelena,Hoovart,History,317-226-0889,1122.67
Terrijo,Pagden,History,909-328-3481,4039.08
Marcellus,Yacobsohn,Math,501-969-6484,1055.99
Luise,Hardison,Science,623-386-5692,4651.83
Cullan,Westnage,Science,989-307-5450,2663.84
Richart,Denyukhin,History,423-304-3549,2469.64
Chelsey,Meneyer,English,801-421-9561,3422.29
Inglebert,Struis,History,605-766-4616,1362.92
Quinton,Moens,Art,318-542-4099,1339.13
Cristie,Bescoby,Math,510-617-3814,3892.16
Grace,Scutching,English,612-611-9767,1025.42
Frederik,Ranson,Science,602-854-1857,2930.43
Caryn,Renachowski,Art,619-466-4612,4139.27
Fabien,Arrighi,English,860-911-1269,1994.13
Bab,Eadmeads,Science,202-769-5853,3164.93
Alain,Robelet,Art,916-372-9119,2614.51
Annabelle,Heeps,English,203-289-2464,2842.58
Rube,Howship,Art,951-190-4972,1851.30
Euphemia,Shrubshall,Art,713-734-0705,1140.08
Terese,Kidds,English,775-232-7147,4669.29
Bernarr,Dobson,Math,918-586-2512,3198.00
Veronica,Spensley,English,414-860-8835,1935.59
Briny,Whipple,English,305-143-5620,3805.46
Cari,Lloyd-Williams,English,212-887-0171,1842.00
Nollie,Reims,History,904-458-7396,4379.56
Muhammad,Pencost,Art,239-103-3041,1436.02
Adriano,Chumley,Art,941-735-9752,3669.49
Janenna,Gurnee,Art,801-651-1607,1851.27
Alfonso,Wooles,English,858-890-7586,4338.06
Eugene,Schout,History,281-196-4947,2256.87
Courtnay,Revington,History,214-948-3523,2082.09
Reilly,Wishart,Science,323-486-4432,1925.42
Britney,Sailor,Science,651-851-1221,1428.50
Nev,Linnemann,Math,304-554-6398,2433.69
Allan,Baynard,Math,602-202-6133,1178.51
Connie,Domange,History,314-364-0321,4197.76
Jillane,Dimitrov,Math,830-253-6771,2001.79
Sidonia,Chesters,Art,507-214-1860,2799.44
Delores,Dominguez,History,903-620-3920,3260.33
Binky,Wavish,Science,240-197-8991,3077.49
Isak,Perrin,History,619-839-6133,4997.12
Mireielle,Girodon,English,918-959-8321,2252.80
Orelia,Pudner,History,915-485-9339,1455.89
Meredith,Nelle,History,918-334-2676,4055.75
Gael,Brimble,English,914-980-4028,4665.48
Freddie,Dionisi,Math,805-707-9942,3079.96
Jule,Glennard,Art,541-892-2837,2720.39
Donnie,McGarva,Math,713-231-4928,4157.52
Flinn,Gaze,History,505-253-4881,1572.93
Rory,MacAskie,Math,619-434-3528,4778.78
Davey,Mack,Math,561-614-3962,1253.84
Mackenzie,Iannuzzi,History,337-817-5157,3588.88
Cherida,Ferrey,Science,281-916-5062,2956.00
Elisabeth,Jayne,Art,505-337-3562,3932.99
Anthony,Radolf,Math,832-282-8828,1894.50
Gunter,Relph,Art,813-891-2606,4181.34
Staffard,Edmonston,Science,206-596-1492,2563.20
Lalo,Spinke,Science,702-719-5806,2565.80
Chrissie,Fick,English,402-650-4842,1298.73
Even,Knowller,English,915-767-4556,3759.72
Norrie,Ellens,Science,571-460-2741,4773.40
Rowan,Ferby,Math,432-148-4604,3997.28
Lorelei,Minchell,History,704-806-5848,3252.24
Ambur,Jewers,History,706-159-4575,1755.65
Oberon,Smowton,Science,650-563-5531,4503.38
Carmine,Schwieso,History,304-919-5936,4139.76
Candis,Feilden,History,504-730-7018,4316.86
Stacie,Tiddeman,English,813-320-9604,3240.16
Shurwood,Tredgold,English,502-549-6819,1183.43
Jordan,Cloney,History,239-609-2041,1231.96
Felita,Dyers,Math,919-816-1668,3699.67
Casandra,Goold,Math,254-798-5071,4101.44
Maxie,Webb,Science,904-808-7688,3106.81
Gwen,Brewer,History,404-211-7146,2970.62
Berny,Deex,History,760-403-2121,2845.30
Dehlia,Godier,English,917-415-5428,2140.38
Abbot,MacKerley,Science,562-643-6691,4001.30
Julienne,Touson,Science,605-294-2426,4446.89
Darice,Unwin,English,716-498-6204,3213.69
Roby,Beedom,History,714-488-3843,3315.35
Luciano,Godbold,History,360-546-9117,4564.93
Abbey,Worley,History,515-611-2759,1122.26
Aliza,Gaspero,English,502-772-4229,1440.50
Gratiana,Gledhall,Art,508-515-1575,3780.60
Kaylee,Deabill,Science,267-189-6082,2060.88
Liv,Hyndley,English,915-433-1911,2866.38
Bondon,Grealish,Art,720-353-3235,1395.00
Jobye,Ailward,Math,254-507-4413,1339.69
Wally,Drinnan,English,718-428-8607,3113.14
Marcelia,de Quesne,Math,412-663-6227,1309.56
Edvard,Packham,Math,517-913-4396,4992.65
Cybill,Powys,Art,202-937-7144,2809.42
Giulietta,Ettritch,Art,912-379-5216,1868.38
Lynn,Vasilyev,English,559-335-3167,2721.86
Nat,Edie,Math,303-839-9249,3436.65
Maddie,Furness,Science,612-248-3372,4073.33
Jemie,Gillice,Math,504-931-3022,1203.76
Wendel,Mongeot,History,302-986-5838,3678.42
Godard,Attard,History,202-258-1199,2462.55
Idalina,Broe,Art,630-182-4619,2827.37
Borden,D'Cruze,History,317-189-7218,2344.69
Frazier,Rochewell,History,386-958-7590,3894.20
Truman,Panswick,History,205-463-9964,4209.19
Barty,Kloss,English,305-409-1232,1654.92
Alia,Wansbury,Art,803-655-9162,2545.42
Loralee,Piercy,History,318-514-3686,4814.97
Doug,Felipe,Science,602-591-4790,3440.35
Benedetta,Chmiel,Math,310-494-2911,1057.85
Anna-diane,Ridout,English,571-677-9168,2486.81
Jolee,Swainsbury,History,770-447-9276,3062.35
Ailene,Bauer,English,425-778-4787,1478.23
Tierney,Linley,Math,785-782-0505,2609.13
Carny,Spong,Art,202-624-3151,4497.13
Terence,Aughtie,Science,718-763-5660,4565.56
Rory,Gradley,English,478-849-6340,3624.03
Cymbre,Feechan,Math,305-497-5580,4740.63
Marshall,Medcalfe,English,714-625-9901,2593.05
Laetitia,Finicj,Science,941-124-5612,1825.52
Nerty,Girardy,Science,202-315-2103,1632.60
Elwin,Pittendreigh,Math,501-270-3770,3519.78
Schuyler,Clendennen,History,808-178-3950,2111.20
Moe,Grimestone,Math,512-518-2087,4475.85
Kai,Grinyer,English,502-887-9787,3917.90
Samara,Comizzoli,Math,-666-6433,1651.51
Hatty,Kohlerman,Art,970-173-1041,1555.14
Audy,Blackboro,Art,816-655-0801,4085.01
Fee,Kirk,English,813-980-8249,3939.33
Kathy,Fairebrother,Art,806-946-0700,4359.86
Kimberli,Berling,Math,706-372-4813,2522.35
Calhoun,Tregenza,Art,781-586-9651,1247.64
Theobald,Ghent,Art,806-819-2239,1030.69
Gan,Kennington,Art,314-993-5432,2895.45
Lyndell,Folke,History,786-355-4971,1595.90
Glenn,Nazer,Math,504-837-4191,2365.27
Bengt,Gittose,Math,214-402-0080,3584.12
Liv,Fortman,English,612-508-7193,2348.12
Kris,Matveiko,History,941-874-4683,2861.42
Sherrie,Hammett,English,706-217-0088,1782.41
Lodovico,Scotts,History,810-620-1837,3588.23
Ynes,O'Bradain,Science,205-747-6510,4713.04
Arlyne,Tollett,English,602-839-7006,3870.41
Modesta,Vedikhov,Math,404-250-5180,3625.90
Dulcinea,Bilbrook,Science,206-458-3540,1462.04
Marcelo,Roelofs,Math,304-705-6627,4238.04
Franklyn,Dunley,Science,321-676-8244,2910.66
Antonin,Messitt,Art,432-584-8264,3950.80
Borden,Philler,History,408-376-3570,4169.40
Alisha,Arkle,Math,202-117-3181,4240.88
Klemens,Dunston,Math,574-114-3925,3649.03
Regen,Le Guin,History,918-285-5332,4592.53
Lisha,Wilcott,History,405-150-7075,2307.95
Lizabeth,Mompesson,Science,719-361-7469,4656.00
Alverta,Froment,English,323-243-3968,4311.00
Betty,Jakoub,Math,941-492-2077,3486.74
Mal,Stoves,Art,325-769-0696,4807.81
Jaquelin,Wicher,Science,813-101-1193,2354.65
Murdoch,Squirrel,Math,559-333-6831,1679.73
Gerti,Larwood,History,661-627-9501,4090.35
Sandie,Merwede,Science,713-509-1808,2292.28
Karlie,Henze,Math,731-403-1466,4050.54
Robby,Grimsdyke,Math,713-685-8811,2898.97
Angelica,Rajchert,Art,804-638-5979,3380.35
Carroll,Guido,Math,404-743-2372,3985.03
Rebeca,Dullingham,Art,336-762-6241,1861.24
Kelly,Bertrand,Art,954-782-1130,2657.21
Alfi,Pepineaux,Art,210-387-6306,3760.04
Lyndsay,Coupe,Science,205-936-6386,4123.74
Oralie,Haldon,Math,202-112-0434,4957.51
De witt,MacParlan,History,910-591-7813,1257.93
Marj,Scanes,English,234-256-7302,1240.93
Neilla,Cristofori,Math,646-954-5131,1345.11
Glori,Wasielewicz,Art,804-316-3581,2160.50
Gael,Van der Brug,Math,718-538-1740,1213.31
Arliene,Odgers,English,512-516-6751,4504.38
Sybilla,Naisbit,English,616-136-3484,4483.16
Eli,Gellan,English,415-413-7212,2880.13
Randi,Rosengren,Math,805-544-8078,3352.57
Mervin,Maffini,History,918-531-7131,3170.38
Horst,Wass,History,904-776-9004,2375.62
Chase,Dennert,Science,402-315-3188,3105.99
Minor,Pafford,History,816-195-7134,4533.07
Alie,Tomsu,Art,661-877-0521,3218.13
Lanita,Cristea,Art,260-631-7715,1278.88
Giovanna,Simco,Science,520-674-0763,4862.17
Fancie,Thalmann,English,612-438-1710,4792.76
Ambur,Avramovich,Math,754-751-6943,4023.18
Hartley,Fox,Science,917-337-9753,1266.47
Kennie,Hewertson,English,404-888-3716,2013.51
Liza,Mewis,Math,901-216-9177,4593.57
Arch,Bruty,Math,828-175-3904,1871.66
Horst,Bellfield,Math,936-217-5699,2152.38
Adelbert,Wayon,Science,816-207-1923,1540.31
Mildred,McCree,Art,304-718-4270,2505.57
Shayne,Waind,History,714-459-6674,4850.05
Correna,Clarey,Art,469-696-2062,1100.48
Conant,Kobpa,English,954-489-6514,4915.10
Shelli,Damp,English,203-744-6207,3509.70
Rubia,Scotsbrook,English,253-672-0047,3336.12
Jourdan,MacTimpany,English,323-384-0521,4235.09
Midge,Hardes,History,970-242-1669,1989.81
Salomi,Douche,English,330-828-7369,3921.40
Ardis,Cecere,Art,404-710-1705,2181.66
Tallou,O'Sharry,Science,216-339-1551,3086.55
Egon,Bradlaugh,History,303-352-5423,2119.01
Christian,Grishin,Science,253-494-2257,4107.31
Penny,Giorgeschi,History,512-392-6264,4618.27
Mariel,Snell,Math,520-998-3027,4307.40
Ruggiero,Andreotti,Math,205-807-9666,1148.65
Engelbert,Gye,Math,413-914-4309,4031.15
Efrem,Tolossi,Art,651-973-7982,4483.25
Keeley,Eliasen,History,601-416-8804,1157.64
Lorrie,Rust,English,559-708-4725,1137.50
Melita,Deneve,English,863-801-8052,1027.02
Saloma,Hartness,Math,716-832-8086,2934.33
Adan,Canadine,History,973-788-4405,2182.05
Lacey,Peasey,Science,520-727-2950,1988.30
Woodman,Crowhurst,Art,302-931-9938,1883.32
Barnie,Butterly,Science,646-454-7156,3105.55
Lilian,Axelbee,Science,713-853-1835,3718.11
Marie-jeanne,Raithby,English,609-582-6511,2597.10
Jock,Vickery,English,408-303-4581,2048.71
Mervin,Blumsom,History,305-514-7725,3350.05
Pansie,Rosier,Math,502-227-2450,3620.50
Giorgia,Eskrick,English,253-519-6921,2388.94
Kaleb,Finders,Math,336-188-6211,4858.15
Kellen,Gullivent,English,202-595-4178,2636.70
Aviva,Luddy,Science,213-597-1378,1913.42
Leonard,Cooney,Math,724-577-3541,1609.57
Tessa,Oldknowe,Science,863-449-6428,3843.66
Bryna,Brandacci,Art,502-752-4259,1608.31
Auria,Brittoner,Art,304-863-5388,3400.92
Tynan,Glenwright,Math,339-504-5094,1940.26
Ignaz,Mellmer,Math,941-926-6157,3308.15
Linzy,Basini-Gazzi,Science,646-371-3974,1248.17
Erena,Wavell,English,786-642-0671,1637.12
Kirsteni,Preskett,Science,816-279-7710,1345.75
Jeni,Maybury,Math,702-192-0038,1438.93
Lucina,Richten,History,915-285-8283,4340.64
Sheba,Tesoe,Art,907-491-9088,4235.34
Inga,Carlyon,Art,904-630-8880,3336.86
Rosalind,Ogley,Art,763-142-0637,2940.79
Betteanne,Nand,Art,770-822-4026,4568.50
Malinda,Giacomuzzo,History,832-927-9269,3371.03
Neila,Bannard,Art,706-151-5256,4927.72
Banky,Voak,English,248-556-1901,4692.19
Odette,Bramwell,History,202-116-6411,2982.70
Dinny,Perrin,Science,213-724-6221,4442.13
Sampson,Gonnelly,Science,951-764-7134,1605.52
Lorinda,Masic,Science,850-246-8914,4731.55
Modestine,Josefsohn,English,202-324-5603,4150.49
Erinn,Reeveley,English,202-467-1429,1628.70
Ivar,Marciskewski,Math,432-124-7529,3784.30
Laurette,Labes,Math,414-977-5178,3074.71
Judye,Hailston,History,712-306-6290,2775.08
Nicolas,Wark,English,212-734-2597,2268.25
Malory,Le Houx,Art,202-524-8899,3579.29
Denver,Messenbird,History,508-482-3665,3314.27
Reginauld,Stimpson,Science,407-927-0775,4394.29
Jeno,Livsey,History,203-824-9101,4263.71
Cosimo,Flitcroft,Art,406-962-5262,1515.60
Kent,Harnor,English,502-449-4367,4761.09
York,Torrejon,Math,218-896-8083,1489.81
Ermengarde,Hastewell,English,239-530-8716,2723.34
Deny,Hastelow,Science,973-265-3351,4085.48
Bianca,Kidman,History,616-782-1635,4117.18
Dwight,Stitwell,Art,806-543-3585,3172.55
Bathsheba,Guittet,History,303-460-3566,1878.59
Ebenezer,Strangman,Math,203-431-5940,2293.29
Sylvester,Tuohy,Math,402-850-6012,4318.01
Benjie,Inchboard,Science,417-866-4699,3584.26
Thibaud,Jacqueme,Science,503-357-1818,1436.91
Chev,Dudley,Math,312-164-2200,1906.06
Evelyn,Vallender,History,402-791-2874,4569.02
Johny,Mowsley,Science,408-762-8460,1336.37
Daffi,Baudet,English,317-492-4565,1534.64
Barclay,Rake,English,970-631-0561,1698.80
Clotilda,Cuff,Art,607-814-4698,4850.45
Lem,Hinkens,Art,517-577-0769,2999.49
Sharron,Tomasian,English,231-648-3486,1794.55
Rikki,Fraschini,Math,352-543-2351,1829.92
Janella,Mahony,English,414-249-8477,2444.17
Wallie,Clayborn,Math,513-280-8126,4887.74
Sissie,MacQuarrie,Art,562-365-0445,3949.71
Abigale,Aleksich,History,305-706-1326,1238.49
Codie,Urling,Math,206-140-1131,1741.56
Maridel,Kurten,Math,765-939-5772,2367.18
Kaitlin,Cartmail,History,610-103-0725,3409.30
Hyacinthie,Emeline,Art,786-391-7462,4355.95
Codee,Broddle,History,520-328-7780,3843.68
Lydie,Bourget,Science,415-899-9265,3423.59
Gilbertina,Shalcras,English,214-558-0595,2677.54
Ulberto,McShee,Art,504-630-1729,3501.04
Haily,Edgley,Math,646-459-3685,4016.34
Magda,Mansuer,Science,202-164-3826,4809.95
Claribel,Castelyn,English,423-592-8518,1299.57
Mohandis,Gehrts,History,571-175-5489,3801.40
Sunny,Hanfrey,Science,503-991-9260,2820.01
Hobey,Haigh,Art,915-452-9747,4902.79
Joane,Bonifazio,History,720-953-4343,4300.33
Bobbie,Pales,Math,727-648-9325,4930.98
Jessey,Fullbrook,English,404-313-3296,4499.00
Giavani,Frenchum,History,203-959-1130,1933.32
Kristen,Joselson,History,202-621-6485,4345.35
Cecelia,Happel,Math,412-576-5364,1054.82
Toiboid,Myott,English,212-289-7211,3428.16
Zora,Riach,Science,386-261-1745,3027.34
Mari,Selborne,Art,916-867-3825,4824.82
Shannon,Croci,Art,713-167-6975,1615.05
Ardra,Glashby,Math,325-262-5327,2154.36
Griffie,Duckett,Art,713-992-2210,3700.54
Valaree,Marcu,Math,864-606-8000,1157.65
Sascha,Derry,Art,859-639-9922,4528.17
Bar,Wiltshaw,English,714-275-5584,1940.13
Domini,Burnard,History,615-811-9546,3966.20
Mariquilla,Simmill,Science,254-505-9393,4705.92
Claretta,Coltart,Science,404-264-2561,3743.47
Verine,Barrs,English,503-675-9565,3335.71
Evin,Helmke,Science,312-605-5997,3097.46
Blair,Dwyer,History,203-785-1800,4364.68
Danyette,Curwood,English,316-688-0147,2316.65
Dionne,Deners,Math,601-300-0452,1744.69
Anastasie,Brierley,English,312-784-8478,1041.18
Zorana,Beggan,English,763-469-0567,1644.36
Ricki,Kiefer,Art,786-349-1933,2171.77
Viole,Rycroft,English,949-887-4565,3016.57
Klarika,Lightoller,Math,775-898-0700,2793.20
Yankee,Pigford,Art,212-199-2725,2524.83
Jervis,Tearny,English,915-812-1770,2249.92
Manny,Lefeuvre,Math,650-318-9657,1200.65
Sigmund,Jorge,Art,309-934-7850,1246.59
Jacinthe,Copyn,History,202-171-8594,4419.95
Bartolomeo,Harden,Art,651-915-0184,3375.42
Marget,Palle,Art,251-824-0866,1202.96
Reinold,Jaynes,Art,816-338-4130,1597.26
Zedekiah,Unger,History,816-514-6216,1910.43
Archibald,Wingate,English,410-181-0459,1748.17
Kerrill,Dawley,Science,682-845-5822,1211.08
Maxie,Edgcombe,Art,612-988-7081,2326.56
Zilvia,Stair,History,919-848-3082,2291.78
Theobald,Pennycock,Science,214-110-5353,1031.15
Jeniffer,Wolpert,Math,562-689-3228,2155.83
Maisie,Louiset,History,203-303-5784,2575.35
Costa,Philipsohn,History,317-653-5982,1643.94
Richmond,Prendergrast,Math,214-124-6136,4272.35
Joelie,Bottjer,Math,260-392-9053,4777.32
Stacy,Aylett,History,915-937-4233,4047.27
Nanny,Stratz,Math,313-463-6038,3546.81
Ted,Dumbleton,Math,801-696-8683,4503.39
Prescott,Squires,Math,713-747-2757,3959.66
Gasper,Struis,Art,760-456-1041,4428.49
Rosabel,Surgen,Math,812-306-9099,3160.88
Konrad,Timeby,Science,915-141-7692,3420.57
Skelly,Guy,History,260-695-6648,4421.61
Wally,Nation,Art,808-926-5887,3338.00
Annissa,Joy,English,212-977-3311,1055.71
Chad,Millington,Art,415-281-9274,3410.07
Beatrisa,Jozsa,Science,434-625-9820,3834.05
Arron,Van der Kruijs,History,859-238-3351,4070.76
Kelly,Pinor,Science,410-821-5885,3342.52
Giacobo,Blown,Art,210-711-0498,3074.64
Shaw,Burdoun,Science,612-758-4038,4916.11
Luce,Titmus,English,202-616-9502,4397.94
Kirk,Randall,English,318-960-8622,4222.56
Saw,Mongain,English,610-190-3009,4506.59
Tally,Digger,English,816-926-7997,3749.43
Lia,Duferie,English,513-719-5714,1454.51
Rocky,Adlard,Math,414-221-0279,4383.05
Tiebold,Dilkes,Art,810-491-6730,2332.81
Sofia,Renner,Math,316-172-6166,3418.39
Augustus,Bain,English,914-383-2897,2912.01
Worth,Farloe,Science,203-405-7460,1697.24
Perice,Plaskett,English,936-238-1961,4612.89
Jonas,Spritt,Science,914-706-7257,4295.14
Katerina,Margaritelli,English,415-324-3749,2004.90
Tobie,Calles,English,312-256-6984,4131.22
Corrie,Chinnery,Art,781-831-3446,3713.75
Dusty,Turpey,Math,404-315-0462,4231.59
Ingamar,Surphliss,Art,952-441-3230,3148.77
Vinny,Cobbe,Science,423-277-8065,1727.03
Ameline,Tolson,Art,704-837-3824,1162.63
Channa,Lethieulier,Art,830-597-2130,2487.98
Fiann,Gooddie,Science,408-137-9843,3318.59
Dagny,Harrell,Art,213-446-0777,1810.96
Shaylynn,Lower,History,772-471-0720,4908.76
Jolyn,O'Docherty,History,918-755-0014,4900.97
Ulla,Mitham,History,405-436-2219,2241.95
Fitz,Jacobsson,Art,217-133-1408,3472.00
Alasteir,Poll,Math,202-201-4892,4358.23
Zolly,Ryal,Math,918-555-7430,3654.81
Richy,Paternoster,History,562-505-6486,4244.83
Larine,Bastistini,Art,863-973-4903,1160.70
Hannie,Spurdle,Math,805-711-3974,2703.98
Consuela,Dauney,History,210-424-5970,4799.12
Candie,Hailey,English,713-934-1988,4177.67
Cherey,Charlo,Science,217-827-9420,4336.84
Tremain,Fooks,Math,215-641-6997,4458.94
Maxwell,Suttill,History,513-501-1298,1451.34
Quinn,Maybey,History,623-805-1971,2304.97
Lillis,Lount,Science,312-344-7141,2892.25
Karylin,Steinhammer,Math,609-918-6694,3985.47
